ID,game_id,Fixture,Attacking Team,Defending Team,Attacking Team ID,Defending Team ID,Goals Scored,Goals Conceded,Goals Difference,Game State,Side,Early/Lateral/Deep,OPTA Event ID,period_id,min,sec,X Coordinate,Y Coordinate,End X Coordinate,End Y Coordinate,Length Pass,% Distance Along X,Player ID,Player Name,Preferred Foot,Outcome,Keypass/Assist,Blocked Pass,Cutback,OPTA Pull Back Qualifier,Out Of Pitch,Ending Too Wide,Cross Type,Set Piece OPTA Event ID,OPTA Cross Qualifier,Time Between Set Piece and Cross,Number Events Between Set Piece and Cross,Linked 2nd Phase Cross IDs,First Contact Type,First Contact Explanation,First Contact Player ID,First Contact Player Name,First Contact Team ID,First Contact Team Name,First Contact Aerial,Defending Goalkeeper ID,Defending Goalkeeper Name,First Contact Event ID,First Contact Shot,First Contact X Coordinate,First Contact Y Coordinate,Cross After A Penalty Kick,Cross After A Throw-in,Penalty Kick OPTA ID,Throw-in OPTA ID,Time Between Penalty Kick And Cross,Time Between Throw-in And Cross,Time Lapsed From Cross And First Contact
47088,f1059882,Bournemouth v Arsenal,Arsenal,Bournemouth,t3,t91,0,0,NULL,drawing,Left,Lateral,2173891063,1,17,6,88,80.2,88,69,7.58,0,p54694,Pierre-Emerick Aubameyang,Right,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,12,Headed Clearance,p152551,Jefferson Lerma,t91,,1,p225321,Aaron Ramsdale,2173891075,0,12.2,30.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47089,f1059882,Bournemouth v Arsenal,Arsenal,Bournemouth,t3,t91,0,0,NULL,drawing,Left,Deep,2173892063,1,17,39,99.5,99.5,90.6,57,30.2,-8.9,p37605,Mesut Özil,Left,Unsuccessful,,0,0,0,0,0,Crossed Corner,2173892063,1,NULL,NULL,,12,Headed Clearance,p223911,Chris Mepham,t91,,1,p225321,Aaron Ramsdale,2173892123,0,9.7,44.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47090,f1059882,Bournemouth v Arsenal,Arsenal,Bournemouth,t3,t91,0,0,NULL,drawing,Left,Lateral,2173892867,1,18,7,91.3,72,93.7,48.8,15.89,2.4,p54694,Pierre-Emerick Aubameyang,Right,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,12,Headed Clearance,p155408,Lewis Cook,t91,,1,p225321,Aaron Ramsdale,2173892879,0,7.8,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47093,f1059882,Bournemouth v Arsenal,Arsenal,Bournemouth,t3,t91,0,0,NULL,drawing,Right,Deep,2173902913,1,24,12,99.5,0.5,91.4,46.9,32.5,-8.1,p37605,Mesut Özil,Left,Unsuccessful,,0,0,0,0,0,Crossed Corner,2173902913,1,NULL,NULL,,44,Aerial Duel Won,p223911,Chris Mepham,t91,,1,p225321,Aaron Ramsdale,2173902923,0,9.4,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47095,f1059882,Bournemouth v Arsenal,Arsenal,Bournemouth,t3,t91,0,0,NULL,drawing,Left,Lateral,2173911313,1,29,21,87.7,82.3,93.3,47.6,24.19,5.6,p54694,Pierre-Emerick Aubameyang,Right,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,12,Headed Clearance,p222434,Jack Simpson,t91,,1,p225321,Aaron Ramsdale,2173911363,0,9.1,54.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47097,f1059882,Bournemouth v Arsenal,Bournemouth,Arsenal,t91,t3,0,0,NULL,drawing,Left,Deep,2173917355,1,32,51,99.5,99.5,93.4,55.7,30.3,-6.1,p90105,Ryan Fraser,Right,Unsuccessful,,0,0,0,0,0,Crossed Corner,2173917355,1,NULL,NULL,,12,Headed Clearance,p41270,David Luiz,t3,,1,p80201,Bernd Leno,2173917447,0,5.8,47.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47109,f1059882,Bournemouth v Arsenal,Arsenal,Bournemouth,t3,t91,0,1,NULL,losing,Left,Deep,2173960619,2,57,38,97.8,67,86,46.3,18.59,-11.8,p54694,Pierre-Emerick Aubameyang,Right,Unsuccessful,,0,1,1,0,0,Open Play,,0,NULL,NULL,,49,Ball recovery,p155408,Lewis Cook,t91,,0,p225321,Aaron Ramsdale,2173960633,0,13.2,52.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47111,f1059882,Bournemouth v Arsenal,Arsenal,Bournemouth,t3,t91,0,1,NULL,losing,Left,Lateral,2173963107,2,59,31,94.1,79.4,96.2,59.1,13.91,2.1,p54694,Pierre-Emerick Aubameyang,Right,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,12,Clearance,p56917,Steve Cook,t91,,0,p225321,Aaron Ramsdale,2173963619,0,4.7,39.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47112,f1059882,Bournemouth v Arsenal,Arsenal,Bournemouth,t3,t91,1,1,NULL,drawing,Right,Lateral,2173973215,2,66,47,93.6,21.8,89.5,37.9,11.69,-4.1,p54694,Pierre-Emerick Aubameyang,Right,Unsuccessful,,0,1,0,0,0,Open Play,,0,NULL,NULL,,12,Clearance,p223911,Chris Mepham,t91,,0,p225321,Aaron Ramsdale,2173973259,0,9.5,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47113,f1059882,Bournemouth v Arsenal,Arsenal,Bournemouth,t3,t91,1,1,NULL,drawing,Left,Deep,2173976801,2,69,27,99.5,99.5,91.6,58.2,29.12,-7.9,p37605,Mesut Özil,Left,Successful,,0,0,0,0,0,Crossed Corner,2173976801,1,NULL,NULL,"2173976801, 2173976979",44,Aerial Duel Won,p84450,Granit Xhaka,t3,,1,p225321,Aaron Ramsdale,2173976815,0,93.2,53.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
