Competition Name,Season Name,Game ID
Champions League,Season 2017/2018,8
Champions League,Season 2019/2020,8
Champions League,Season 2020/2021,7
English FA Cup,Season 2016/2017,6
English FA Cup,Season 2017/2018,7
English FA Cup,Season 2018/2019,3
English FA Cup,Season 2019/2020,6
English FA Cup,Season 2020/2021,3
English League Cup,Season 2016/2017,3
English League Cup,Season 2017/2018,5
English League Cup,Season 2018/2019,6
English League Cup,Season 2019/2020,2
English League Cup,Season 2020/2021,2
English Premier League,Season 2016/2017,380
English Premier League,Season 2017/2018,380
English Premier League,Season 2018/2019,380
English Premier League,Season 2019/2020,380
English Premier League,Season 2020/2021,276
French Ligue 1,Season 2018/2019,380
French Ligue 1,Season 2019/2020,279
French Ligue 1,Season 2020/2021,138
German Bundesliga,Season 2018/2019,306
German Bundesliga,Season 2019/2020,306
German Bundesliga,Season 2020/2021,103
Italian Serie A,Season 2018/2019,380
Italian Serie A,Season 2019/2020,380
Italian Serie A,Season 2020/2021,110
Spanish La Liga,Season 2018/2019,380
Spanish La Liga,Season 2019/2020,380
Spanish La Liga,Season 2020/2021,226
UEFA Europa League,Season 2018/2019,15
UEFA Super Cup,Season 2019/2020,1
