Competition Name,Season Name,Game ID
Champions League,Season 2019/2020,2027035  2043296  2027111  2027103  2027088  2027071  2027050  
Champions League,Season 2020/2021,2170486  2170469  2170475  
English FA Cup,Season 2019/2020,2055191  2048317  2042049  
English League Cup,Season 2019/2020,2031382  2026867  
English League Cup,Season 2020/2021,2140642  2166347  
English Premier League,Season 2016/2017,855176   855177   855178   855180   855181   855184   855185   855179   855187   855186   855183   855182   855188   855191   855190   855192   855193   855189   855194   855196   855198   855199   855195   855200   855202   855204   855197   855203   855206   855208   855209   855210   855201   855205   855213   855207   855214   855212   855215   855216   855217   855211   855218   855219   855220   855223   855224   855221   855227   855228   855229   855225   855222   855226   855232   855234   855230   855231   855233   855238   855235   855239   855240   855237   855236   855242   855243   855244   855245   855241   855247   855249   855246   855256   855255   855250   855251   855248   855252   855253   855254   855264   855261   855259   855263   855257   855258   855260   855262   855268   855269   855271   855265   855266   855267   855270   855174   855172   855173   855175   
English Premier League,Season 2018/2019,987971   987970   987969   987965   987966   987968   987962   987963   987964   987967   
English Premier League,Season 2019/2020,1059928  1059959  1059964  1059981  1059958  1059960  1059961  1059813  1059818  1059806  1059807  1059810  1059805  1059803  1059804  1059808  1059809  1059802  1059811  1059840  1059832  1059837  1059828  1059823  1059816  1059819  1059788  1059820  1059789  1059783  1059782  1059785  1059786  1059777  1059784  1059787  1059790  1059772  1059776  1059779  1059774  1059780  1059781  1059778  1059767  1059768  1059773  1059766  1059763  1059764  1059762  1059771  1059770  1059765  1059759  1059754  1059752  1059769  1059755  1059761  1059756  1059758  1059760  1059757  1059753  1059743  1059747  1059742  1059750  1059744  1059751  1059749  1059748  1059736  1059732  1059745  1059734  1059733  1059962  1059968  1059741  1059735  1059737  1059738  1059739  1059967  1059740  1059725  1059731  1059723  1059724  1059728  1059714  1059717  1059716  1059719  1059704  1059703  1059706  1059711  1059707  1059705  1059709  1059984  1059988  1059986  1059978  1059977  1059980  1059982  1059983  1059987  1059990  1059991  1059979  1059974  1059902  1059894  1059897  1059969  1059898  1059901  1059892  1059895  1059896  1059970  1059888  1059883  1059899  1059872  1059877  1059882  1059885  1059886  1059889  1059893  1059873  1059874  1059884  1059891  1059876  1059879  1059890  1059864  1059870  1059875  1059878  1059865  1059871  1059862  1059854  1059857  1059861  1059863  1059866  1059867  1059868  1059844  1059845  1059856  1059853  1059859  1059847  1059957  1059860  1059855  1059848  1059852  1059846  1059843  1059841  1059851  1059834  1059849  1059972  1059966  1059963  1059971  1059965  1059956  1059881  1059838  1059833  1059839  1059836  1059824  1059822  1059825  1059850  1059827  1059826  1059830  1059829  1059815  1059835  1059821  1059831  1059812  1059814  1059817  1059858  1059985  1059989  1059998  1059994  1059993  1059997  1060010  1060006  1060011  1060009  1060014  1059721  1059794  1059730  1059729  1059746  1059775  1059793  1059796  1059792  1059795  1059797  1059798  1059900  1059801  1059799  1059800  1059869  1059880  1059910  1059973  1059914  1059913  1060000  1059954  1059710  1059976  1059727  1059720  1059722  1059713  1059726  1059887  1060001  1059996  1059995  1059999  1059903  1059915  1059904  1059906  1059908  1059909  1059911  1059905  1059919  1059924  1059916  1059917  1059918  1059920  1059921  1059922  1059923  1059925  1059929  1059927  1059930  1059931  1059932  1059934  1059936  1059941  1059952  1059942  1059945  1059949  1059946  1059950  1059951  1059948  1059943  1059702  1059907  1059912  1059926  1059935  1059937  1059933  1059938  1059939  1059940  1059947  1059953  1059955  1059944  1060021  1060012  1060013  1060017  1059842  1059718  1060019  1060018  1060031  1060023  1060024  1060026  1060028  1060022  1060029  1060027  1060025  1060030  1059975  1060033  1060036  1060040  1060038  1060035  1060041  1060039  1060037  1060032  1060034  1060048  1060044  1060045  1060047  1060050  1060049  1060043  1060042  1060051  1060046  1060054  1060053  1060052  1060058  1060059  1060056  1060060  1060057  1060055  1060061  1060067  1060069  1060062  1060071  1060064  1060068  1060063  1060070  1060065  1060066  1060072  1060073  1060075  1060074  1060076  1060077  1060079  1060078  1060081  1060080  1059992  1059791  1059708  1059712  1059715  
English Premier League,Season 2020/2021,2128497  2128496  2128525  2128380  2128344  2128463  2128311  2128299  2128316  2128389  2128377  2128323  2128315  2128382  2128331  2128339  2128337  2128423  2128313  2128304  2128303  2128449  2128300  2128332  2128305  2128461  2128392  2128294  2128330  2128329  2128395  2128355  2128338  2128297  2128286  2128343  2128446  2128394  2128309  2128454  2128314  2128362  2128291  2128302  2128288  2128356  2128321  2128296  2128444  2128419  2128453  2128326  2128292  2128400  2128465  2128336  2128388  2128334  2128322  2128456  2128391  2128361  2128364  2128341  2128320  2128451  2128293  2128287  2128298  2128425  2128289  2128384  2128295  2128340  2128325  2128317  2128308  2128390  2128335  2128301  2128345  2128319  2128310  2128328  2128448  2128452  2128455  2128342  2128306  2128318  2128327  2128450  2128393  2128307  2128324  2128333  2128351  2128346  2128349  2128383  2128369  2128376  2128363  2128358  2128367  2128352  2128353  2128366  2128375  2128365  2128374  2128360  2128379  2128368  2128373  2128359  2128347  2128441  2128378  2128350  2128354  2128385  2128413  2128442  2128403  2128370  2128433  2128372  2128357  2128371  2128436  2128416  2128424  2128348  2128421  2128381  2128398  2128402  2128405  2128396  2128397  2128399  2128401  2128404  2128415  2128406  2128408  2128409  2128410  2128412  2128414  2128407  2128411  2128420  2128422  2128417  2128418  2128426  2128427  2128428  2128430  2128429  2128431  2128434  2128435  2128438  2128439  2128437  2128443  2128445  2128387  2128312  2128468  2128469  2128470  2128474  2128475  2128472  2128471  2128473  2128466  2128460  2128462  2128458  2128290  2128464  2128386  2128480  2128482  2128484  2128483  2128477  2128478  2128479  2128476  2128481  2128485  2128486  2128493  2128494  2128490  2128489  2128492  2128487  2128491  2128488  2128495  2128502  2128504  2128501  2128500  2128499  2128503  2128498  2128505  2128515  2128507  2128512  2128511  2128506  2128508  2128510  2128514  2128513  2128517  2128509  2128522  2128519  2128521  2128524  2128516  2128520  2128523  2128518  2128440  2128447  2128535  2128529  2128531  2128530  2128533  2128526  2128532  2128534  2128527  2128528  2128459  2128539  2128542  2128545  2128541  2128540  2128536  2128537  2128543  2128538  2128544  2128571  2128567  2128568  2128574  2128572  2128552  2128546  2128548  2128554  2128553  2128551  2128570  2128608  2128547  2128550  2128555  2128563  2128549  2128612  2128558  2128559  2128564  2128560  2128557  2128562  2128556  2128561  
German Bundesliga,Season 2018/2019,995252   995278   995254   995287   995267   995275   995253   995266   995240   995246   995235   995269   995263   995238   995250   995251   995261   995242   995274   995270   995243   995276   995255   995285   995239   995249   995288   995273   995286   995257   995259   995277   995283   995272   995262   995244   995281   995271   995268   995256   995241   995265   995280   995236   995258   995284   995245   995264   995247   995237   995248   995282   995279   995260   
UEFA Super Cup,Season 2019/2020,1058119  
